DBN,ell_num,sped_num,asian_num,black_num,hispanic_num,white_num,male_num,female_num,Total Cohort #,Total Grads #,Total Regents #,Advanced Regents #,Regents w/o Advanced #,Local #,Still Enrolled #,Dropped Out #,School Name,Year,Total Enrollment,# Female,# Male,# Asian,# Black,# Hispanic,# Multi-Racial,# Native American,# White,# English Language Learners,# Poverty,Economic Need Index
10X397,135,,15,23,121,3,100,65,102,20,19,0,19,1,31,50,English Language Learners and International Suppor,2017-18,350,145,205,10,62,258,1,4,15,315,332,95
10X433,68,77,7,176,318,11,202,315,21,6,4,0,4,2,10,5,High School for Teaching and the Professions,2017-18,447,237,210,11,72,344,0,0,16,101,410,92.6
10X434,57,66,12,120,252,4,179,210,90,71,63,14,49,8,5,14,Belmont Preparatory High School,2017-18,402,215,187,11,89,292,0,2,5,49,354,85
10X437,44,81,7,144,213,6,146,225,83,61,31,0,31,30,2,10,Fordham High School for the Arts,2017-18,356,261,95,5,120,217,0,2,7,15,319,81
10X438,65,74,13,180,288,9,300,195,15,5,1,0,1,4,3,6,Fordham Leadership Academy,2017-18,342,135,206,10,88,234,0,2,7,74,295,90.6
10X439,58,90,10,133,279,4,192,240,95,59,41,4,37,18,2,32,Bronx High School for Law and Community Service,2017-18,409,228,181,7,111,274,0,3,11,55,375,89.4
10X440,546,461,246,1136,2903,124,2047,2418,957,636,397,135,262,239,64,217,DeWitt Clinton High School,2017-18,1203,532,671,128,394,611,2,11,46,237,1078,85.2
10X442,15,33,2,115,294,10,172,251,46,28,16,3,13,12,15,3,"Celia Cruz Bronx High School of Music, The",2017-18,427,272,155,8,96,299,1,3,5,31,375,80.9
10X445,2,6,1600,117,206,740,1479,1191,587,586,586,580,6,0,0,0,The Bronx High School of Science,2017-18,2995,1229,1766,1965,76,186,55,13,698,0,1379,40
10X477,142,33,50,81,280,26,203,242,11,8,6,0,6,2,3,0,Marble Hill High School for International Studies,2017-18,437,226,211,56,79,281,1,4,16,142,401,87.1
10X524,83,0,2,11,68,4,43,42,98,56,52,0,52,4,7,35,Crotona International High School,2017-18,335,172,163,9,27,285,0,3,11,308,291,95
