,DBN,Total Enrollment_x,Number of English Language Learners,ELL as Percent of Total,Sped,Sped as percent of total,Number of Male Students,Male Students as Percent of Total,Number of Female Students,Female Students as Percent of Total,Percent of students receiving free or reduced-price lunch,Total Number in Cohort,Total Number of Grads,Percentage of Grads per Cohort,Total Number of Regents,All Regents as Percentage of Cohort,All Regents as Percentage of Grads,Number of Advanced Regents,Percentage of Advanced Regents per Cohort,Advanced Regents Percentage of Grads,Number of non-Advanced Regents,Percentage of non-Advanced Regents per Cohort,Non-Advanced Regents Percentage of Grads,Number of Local Diplomas,Percentage of Local per Cohort,Local as Percentage of Grads,Number Still Enrolled,Percentage of Cohort Still Enrolled,Number Dropped Out,Dropped Out Percentage of Cohort,Total Enrollment_y,Number of Students with Disabilities,Percentage of Students with Disabilities,Number of Students in Poverty,Percentage of Students in Poverty,Economic Need Index,School Name,Latitude,Longitude
203,14K558,373.85714285714283,19.857142857142858,5.311425296140619,49.0,13.106610622850592,282.0,75.4298815437524,91.85714285714286,24.570118456247613,67.67142857142856,62.184,55.029333333333334,88.49436082164759,51.141333333333336,82.2419486255843,92.93467726303547,10.829333333333333,19.679201395619305,17.414983489858056,40.312,64.82696513572623,73.25547586741617,3.888,6.252412196063297,7.065322736964527,1.744,2.804579956258845,4.754666666666667,7.646125477078777,585.6,134.8,23.01912568306011,478.4,81.69398907103825,73.84,Williamsburg High School for Architecture and Design,40.71504,-73.95465
204,14K561,436.2857142857143,13.714285714285714,3.143418467583497,46.714285714285715,10.707269155206287,198.42857142857142,45.481335952848724,237.85714285714286,54.518664047151276,76.82857142857142,77.2663043478261,70.32065217391305,91.01076176408525,66.03532608695652,85.46458465217695,93.90602055800292,13.986413043478262,19.88948141278306,18.101568544700005,52.04891304347826,67.36301610747695,74.01653914521987,4.2853260869565215,5.5461771119082774,6.093979441997063,2.994565217391304,3.87564183723711,3.5706521739130435,4.62122810719561,694.0,136.4,19.654178674351584,550.0,79.2507204610951,78.44,Williamsburg Preparatory School,40.71504,-73.95465
205,14K586,405.2,51.4,12.685093780848963,76.4,18.854886475814414,217.0,53.55380059230011,188.2,46.4461994076999,73.76,43.906716417910445,29.23134328358209,66.57601767655308,24.30223880597015,55.3497068071726,83.13760531018637,0.0,0.0,0.0,24.30223880597015,55.3497068071726,83.13760531018637,4.92910447761194,11.226310869380471,16.86239468981363,6.242537313432836,14.217727543129092,8.104477611940299,18.458400611880684,440.4,121.2,27.520435967302454,397.8,90.32697547683924,91.82000000000001,Lyons Community School,40.7099,-73.94366
206,14K610,964.0,54.285714285714285,5.631298162418495,196.28571428571428,20.36158861885003,911.2857142857143,94.53171310017784,52.714285714285715,5.46828689982217,67.64285714285714,91.3093023255814,51.979069767441864,56.9263683366019,30.304651162790698,33.1890074624965,58.30164198469867,1.741860465116279,3.3510804885687437,1.9076484221786414,28.56279069767442,31.28135904031786,54.95056149612992,21.709302325581394,23.77556478109161,41.76546910652767,11.92093023255814,13.055548480757967,21.316279069767443,23.345134095713522,344.6,124.4,36.09982588508415,289.4,83.9814277423099,82.8,Automotive High School,40.72264,-73.95258
207,14K614,250.0,8.0,3.2,36.0,14.399999999999999,0.0,0.0,250.0,100.0,63.3,35.109756097560975,35.109756097560975,100.0,32.1219512195122,91.49010072941994,91.49010072941994,1.0731707317073171,3.0566168808614105,3.0566168808614105,31.048780487804876,88.43348384855852,88.43348384855852,2.9878048780487805,8.509899270580062,8.509899270580062,0.0,0.0,0.0,0.0,377.8,81.8,21.65166754896771,310.2,82.10693488618315,83.42,Young Women's Leadership School of Brooklyn,40.7056,-73.93948
208,14K685,185.57142857142858,27.285714285714285,14.7036181678214,35.0,18.860662047729022,81.42857142857143,43.87990762124711,104.14285714285714,56.12009237875289,78.95714285714287,26.763681592039802,19.256218905472636,71.94906589831767,15.582089552238806,58.2210242587601,80.91977780648494,0.0,0.0,0.0,15.582089552238806,58.2210242587601,80.91977780648494,3.674129353233831,13.728041639557578,19.080222193515052,3.699004975124378,13.820987080583697,2.91044776119403,10.874616600055766,224.6,56.6,25.200356188780056,197.2,87.80053428317007,90.44,El Puente Academy for Peace and Justice,40.70577,-73.95573
209,15K423,81.0,1.0,1.2345679012345678,25.0,30.864197530864196,33.0,40.74074074074074,48.0,59.25925925925925,60.0,37.55128205128205,12.423076923076923,33.08296346876067,9.564102564102564,25.469443496073747,76.98658410732713,0.0,0.0,0.0,9.564102564102564,25.469443496073747,76.98658410732713,2.858974358974359,7.613519972686925,23.01341589267286,5.102564102564102,13.588255377261863,15.58974358974359,41.515875725503584,170.8,74.2,43.44262295081967,150.6,88.17330210772832,81.12,Brooklyn Frontiers High School,40.6902,-73.98927
210,15K429,538.2857142857143,23.714285714285715,4.40552016985138,117.57142857142857,21.841825902335454,282.2857142857143,52.44161358811039,256.0,47.55838641188959,64.17142857142856,39.135714285714286,25.4,64.90235444424165,18.666666666666668,47.69726835797287,73.49081364829398,0.04285714285714286,0.16872890888638922,0.10950903449534588,18.623809523809523,47.58775932347752,73.32208473940757,6.733333333333333,17.205086086268786,26.509186351706038,6.0928571428571425,15.568534404088336,5.9714285714285715,15.258258806351524,282.0,62.8,22.26950354609929,226.6,80.35460992907801,75.47999999999999,Brooklyn School for Global Studies,40.68545,-73.99349
211,15K448,631.5714285714286,22.142857142857142,3.5059941189776067,184.28571428571428,29.178918796652344,350.57142857142856,55.50780366432934,281.0,44.49219633567066,55.145714285714284,47.04864864864865,41.64594594594595,88.51677389705883,40.0945945945946,85.21943933823529,96.2749042767214,0.0,0.0,0.0,40.0945945945946,85.21943933823529,96.2749042767214,1.5513513513513513,3.297334558823529,3.7250957232786033,2.1054054054054054,4.474954044117647,2.843243243243243,6.0431985294117645,675.0,195.0,28.888888888888886,442.0,65.48148148148148,66.28,Brooklyn Secondary School for Collaborative Studies,40.67986,-74.00148
212,15K462,556.5714285714286,23.285714285714285,4.183778234086242,69.85714285714286,12.551334702258728,239.14285714285714,42.96714579055442,317.42857142857144,57.032854209445595,70.58571428571429,50.0126582278481,40.18481012658228,80.34927866362946,30.29620253164557,60.57706909643128,75.3921753921754,2.2455696202531645,5.588105588105588,4.490002531004809,28.050632911392405,56.08706656542648,69.8040698040698,9.888607594936708,19.772209567198175,24.607824607824607,4.384810126582279,8.767400658061252,3.6354430379746834,7.269045811187041,456.0,91.2,20.0,360.6,79.07894736842105,78.53999999999999,Secondary School for Law,40.6696,-73.97926
