Total Enrollment,Number of English Language Learners,ELL as Percent of Total,Sped,Sped as percent of total,Number of Male Students,Male Students as Percent of Total,Number of Female Students,Female Students as Percent of Total,Percent of students receiving free or reduced-price lunch
142.42857142857142,1.3333333333333333,0.9361417586091608,1.3333333333333333,0.9361417586091608,58.714285714285715,41.22367101303912,83.71428571428571,58.77632898696088,29.400000000000002
726.8571428571429,15.571428571428571,2.1422955974842766,57.714285714285715,7.9402515723270435,331.2857142857143,45.57783018867924,395.57142857142856,54.42216981132076,74.35714285714286
834.8571428571429,440.14285714285717,52.720739219712534,24.428571428571427,2.926078028747433,455.57142857142856,54.56878850102669,379.2857142857143,45.4312114989733,86.84285714285714
634.2857142857143,32.285714285714285,5.090090090090089,99.71428571428571,15.720720720720719,197.85714285714286,31.193693693693692,436.42857142857144,68.80630630630631,74.32857142857142
83.0,2.0,2.4096385542168677,16.0,19.27710843373494,43.57142857142857,52.49569707401033,39.42857142857143,47.50430292598968,73.72857142857143
1652.5714285714287,53.42857142857143,3.233056708160442,169.0,10.226486860304288,142.71428571428572,8.635892116182573,1509.857142857143,91.36410788381743,70.04285714285714
181.28571428571428,2.8,1.5445232466509062,19.428571428571427,10.717100078802206,80.42857142857143,44.36564223798267,100.85714285714286,55.63435776201734,37.614285714285714
757.7142857142857,45.142857142857146,5.957767722473606,107.14285714285714,14.14027149321267,472.14285714285717,62.311463046757176,285.57142857142856,37.68853695324283,75.22857142857143
1980.857142857143,353.85714285714283,17.863839607673444,255.14285714285714,12.880426943603057,1001.7142857142857,50.569738929756234,979.1428571428571,49.43026107024376,73.89999999999999
1768.142857142857,175.42857142857142,9.921628827664215,277.57142857142856,15.698472974064797,893.1428571428571,50.51304839621879,875.0,49.48695160378121,76.68571428571428
1372.142857142857,35.42857142857143,2.5819885476314424,144.0,10.49453409682457,721.2857142857143,52.56637168141594,650.8571428571429,47.43362831858408,49.31428571428571
700.7142857142857,40.0,5.7084607543323145,106.28571428571429,15.168195718654436,342.42857142857144,48.868501529052,358.2857142857143,51.13149847094801,69.1
211.6,16.2,7.655954631379962,35.8,16.918714555765593,105.0,49.62192816635161,106.6,50.3780718336484,65.02000000000001
338.42857142857144,19.714285714285715,5.825242718446602,42.0,12.410299704516673,123.71428571428571,36.55550865344026,214.71428571428572,63.44449134655973,61.785714285714285
325.85714285714283,45.142857142857146,13.853572994300748,56.0,17.18544498027181,183.28571428571428,56.24725997369575,142.57142857142858,43.75274002630426,62.528571428571425
331.7142857142857,27.714285714285715,8.354866494401378,49.285714285714285,14.857881136950905,184.0,55.469422911283374,147.71428571428572,44.530577088716626,65.42857142857143
188.0,47.0,25.0,45.333333333333336,24.113475177304966,103.66666666666667,55.14184397163121,84.33333333333333,44.85815602836879,73.16666666666667
224.0,49.666666666666664,22.172619047619047,46.666666666666664,20.833333333333332,115.66666666666667,51.636904761904766,108.33333333333333,48.36309523809524,66.10000000000001
185.33333333333334,7.0,3.776978417266187,18.333333333333332,9.89208633093525,86.66666666666667,46.76258992805755,98.66666666666667,53.23741007194245,57.23333333333333
659.2857142857143,43.142857142857146,6.543878656554712,107.28571428571429,16.27302275189599,303.85714285714283,46.08884073672805,355.42857142857144,53.911159263271934,79.45714285714284
159.5,1.5,0.9404388714733543,28.5,17.86833855799373,75.5,47.33542319749217,84.0,52.66457680250783,42.0
1821.0,458.14285714285717,25.15886090844905,191.85714285714286,10.535812348003452,874.7142857142857,48.034831725111786,946.2857142857143,51.96516827488821,71.91428571428571
1107.5714285714287,4.714285714285714,0.42564168708886885,57.142857142857146,5.159293176834773,453.2857142857143,40.926093125241835,654.2857142857143,59.07390687475815,18.87142857142857
2533.5714285714284,6.714285714285714,0.2650126867775585,22.857142857142858,0.9021708486044545,661.7142857142857,26.117846067098956,1871.857142857143,73.88215393290105,20.571428571428573
502.85714285714283,58.42857142857143,11.619318181818183,78.42857142857143,15.59659090909091,205.71428571428572,40.909090909090914,297.14285714285717,59.09090909090909,77.98571428571428
602.0,58.714285714285715,9.753203607024204,90.42857142857143,15.021357380161367,399.2857142857143,66.3265306122449,202.71428571428572,33.673469387755105,76.34285714285714
581.7142857142857,36.57142857142857,6.286836935166994,99.14285714285714,17.043222003929273,265.57142857142856,45.653241650294696,316.14285714285717,54.34675834970532,73.78571428571429
421.2857142857143,9.0,2.136317395727365,12.428571428571429,2.950152594099695,189.42857142857142,44.96439471007121,231.85714285714286,55.03560528992879,54.35
437.42857142857144,15.0,3.429131286740692,74.42857142857143,17.015022860875245,225.42857142857142,51.534944480731546,212.0,48.465055519268454,63.357142857142854
415.75,57.0,13.71016235718581,105.75,25.435959110042095,215.5,51.83403487672881,200.25,48.1659651232712,78.9
405.0,35.57142857142857,8.783068783068783,75.57142857142857,18.659611992945326,175.85714285714286,43.42151675485009,229.14285714285714,56.57848324514991,75.2
1629.5714285714287,89.57142857142857,5.49662487945998,127.85714285714286,7.846059437187691,787.7142857142857,48.33873937056193,841.8571428571429,51.66126062943807,68.28571428571429
366.2857142857143,20.714285714285715,5.6552262090483625,48.142857142857146,13.143525741029643,154.71428571428572,42.238689547581906,211.57142857142858,57.7613104524181,78.04285714285713
350.57142857142856,20.714285714285715,5.9087204563977185,54.57142857142857,15.56642216788916,152.42857142857142,43.480032599836996,198.14285714285714,56.519967400163,73.65714285714286
425.85714285714283,5.857142857142857,1.3753773901375377,23.571428571428573,5.535055350553506,0.0,0.0,425.85714285714283,100.0,69.2
503.57142857142856,39.285714285714285,7.801418439716312,86.57142857142857,17.19148936170213,276.42857142857144,54.8936170212766,227.14285714285714,45.1063829787234,73.54285714285713
317.85714285714283,18.285714285714285,5.752808988764045,69.57142857142857,21.8876404494382,158.28571428571428,49.79775280898877,159.57142857142858,50.20224719101124,73.8
198.6,5.8,2.920443101711984,31.2,15.709969788519636,88.2,44.41087613293052,110.4,55.58912386706949,71.2
733.0,135.0,18.417462482946796,142.0,19.37244201909959,378.0,51.56889495225102,355.0,48.43110504774898,79.1
180.0,7.0,3.888888888888889,17.0,9.444444444444445,76.0,42.22222222222222,104.0,57.77777777777777,77.5
211.71428571428572,7.333333333333333,3.4637876743139895,18.0,8.502024291497975,88.28571428571429,41.70040485829959,123.42857142857143,58.2995951417004,66.77142857142857
367.57142857142856,22.857142857142858,6.218422075398368,45.714285714285715,12.436844150796736,187.71428571428572,51.068791294209106,179.85714285714286,48.93120870579091,76.22857142857143
